ime,lema,postag
Afgan,Afgan,Np-sn
Afić,Afić,Np-sn
Aflić,Aflić,Np-sn
Afrić,Afrić,Np-sn
Aga,Aga,Np-sn
Agačević,Agačević,Np-sn
Agaj,Agaj,Np-sn
Aganbegović,Aganbegović,Np-sn
Aganović,Aganović,Np-sn
Agapito,Agapito,Np-sn
Agarević,Agarević,Np-sn
Agarinis,Agarinis,Np-sn
Agatić,Agatić,Np-sn
Agazzi,Agazzi,Np-sn
Agbaba,Agbaba,Np-sn
Agejev,Agejev,Np-sn
Agelić,Agelić,Np-sn
Ageljić,Ageljić,Np-sn
Agh,Agh,Np-sn
Agičić,Agičić,Np-sn
Agić,Agić,Np-sn
Aginčić,Aginčić,Np-sn
Agladios,Agladios,Np-sn
Agladious,Agladious,Np-sn
Aglić,Aglić,Np-sn
Agnezović,Agnezović,Np-sn
Agnič,Agnič,Np-sn
Agnić,Agnić,Np-sn
Agnoli,Agnoli,Np-sn
Agodini,Agodini,Np-sn
Agoli,Agoli,Np-sn
Agolli,Agolli,Np-sn
Agostelli,Agostelli,Np-sn
Agostini,Agostini,Np-sn
Agotić,Agotić,Np-sn
Agoun,Agoun,Np-sn
Agović,Agović,Np-sn
Agreš,Agreš,Np-sn
Agrež,Agrež,Np-sn
Agrić,Agrić,Np-sn
Agushaj,Agushaj,Np-sn
Agustinović,Agustinović,Np-sn
Agušaj,Agušaj,Np-sn
Aguzin,Aguzin,Np-sn
Aguzinović,Aguzinović,Np-sn
Ahac,Ahac,Np-sn
Ahačić,Ahačić,Np-sn
Ahatović,Ahatović,Np-sn
Ahčin,Ahčin,Np-sn
Ahec,Ahec,Np-sn
Ahel,Ahel,Np-sn
Ahić,Ahić,Np-sn
Ahlin,Ahlin,Np-sn
Ahmećanović,Ahmećanović,Np-sn
Ahmed,Ahmed,Np-sn
Ahmedi,Ahmedi,Np-sn
Ahmedović,Ahmedović,Np-sn
Ahmedovski,Ahmedovski,Np-sn
Ahmetagić,Ahmetagić,Np-sn
Ahmetaj,Ahmetaj,Np-sn
Ahmetaš,Ahmetaš,Np-sn
Ahmetašević,Ahmetašević,Np-sn
Ahmetbašić,Ahmetbašić,Np-sn
Ahmetbegović,Ahmetbegović,Np-sn
Ahmetćehajić,Ahmetćehajić,Np-sn
Ahmeti,Ahmeti,Np-sn
Ahmetkadić,Ahmetkadić,Np-sn
Ahmetović,Ahmetović,Np-sn
Ahmetspahić,Ahmetspahić,Np-sn
Ahmić,Ahmić,Np-sn
Ahmović,Ahmović,Np-sn
Ahola,Ahola,Np-sn
Ahumaraeze,Ahumaraeze,Np-sn
Aido,Aido,Np-sn
Ajanić,Ajanić,Np-sn
Ajanović,Ajanović,Np-sn
Ajaz,Ajaz,Np-sn
Ajazi,Ajazi,Np-sn
Ajbek,Ajbek,Np-sn
Ajček,Ajček,Np-sn
Ajdari,Ajdari,Np-sn
Ajdarić,Ajdarić,Np-sn
Ajdarović,Ajdarović,Np-sn
