"Institucija";"Naslov";"IzvjescaURL";"DatumOtvaranja";"DatumZatvaranja";"OcekivanaObjavaIzvjesca";"Stanje";"DokumentiURL";"SavjetovanjeURL";"ID"
"Ministarstvo financija";"Savjetovanje o Prijedlogu zakona o potvrdivanju ugovora  izmedu Republike Hrvatske i Republike Kosova o izbjegavanju dvostrukog oporezivanja i sprjecavanju izbjegavanja placanja poreza na dohodak i na imovinu,  s konacnim prijedlogom zakona";"/ECon/EconReport?entityId=5750";"24.07.2017.";"25.08.2017.";"08.09.2017.";"Izvješca objavljena";"/Documents/List/5750";"/ECon/MainScreen?entityId=5750";"5750"
"Ministarstvo financija";"Savjetovanje o Prijedlogu zakona o potvrdivanju ugovora  izmedu Vlade Republike Hrvatske i Vlade Ujedinjenih Arapskih Emirata o izbjegavanju dvostrukog oporezivanja porezima na dohodak, s Konacnim prijedlogom zakona";"/ECon/EconReport?entityId=5752";"24.07.2017.";"25.08.2017.";"08.09.2017.";"Izvješca objavljena";"/Documents/List/5752";"/ECon/MainScreen?entityId=5752";"5752"
"Ministarstvo poljoprivrede";"Savjetovanje sa zainteresiranom javnošcu o Nacrtu pravilnika o uvjetima, kriterijima i nacinu dodjele državne potpore u okviru programa potpore „Zaštita i obnova morske bioraznolikosti i morskih ekosustava i režimi naknade u okviru održivih ribolovnih aktivnosti“ – kompenzacija za štete na ulovima koju uzrokuju sisavci";"/ECon/EconReport?entityId=5730";"21.07.2017.";"30.07.2017.";"11.08.2017.";"Izvješca objavljena";"/Documents/List/5730";"/ECon/MainScreen?entityId=5730";"5730"
"Ministarstvo kulture";"Savjetovanje o Pravilniku o korištenju arhivskoga gradiva";NA;"21.07.2017.";"21.08.2017.";"21.09.2017.";"Zatvoren";"/Documents/List/5736";"/ECon/MainScreen?entityId=5736";"5736"
"Ministarstvo graditeljstva i prostornoga uredenja";"Nacrt Pravilnika o izmjenama i dopunama Pravilnika o jednostavnim i drugim gradevinama i radovima";NA;"21.07.2017.";"20.08.2017.";"01.12.2017.";"Zatvoren";"/Documents/List/5740";"/ECon/MainScreen?entityId=5740";"5740"
"Ministarstvo graditeljstva i prostornoga uredenja";"Nacrt Pravilnika o gradevinskoj bruto površini";NA;"21.07.2017.";"20.08.2017.";"01.12.2017.";"Zatvoren";"/Documents/List/5742";"/ECon/MainScreen?entityId=5742";"5742"
"Ministarstvo graditeljstva i prostornoga uredenja";"Nacrt Pravilnika o zahvatima u prostoru koji se ne smatraju gradenjem, a za koje se izdaje lokacijska dozvola";NA;"21.07.2017.";"20.08.2017.";"01.12.2017.";"Zatvoren";"/Documents/List/5744";"/ECon/MainScreen?entityId=5744";"5744"
"Ministarstvo poljoprivrede";"Procjena ucinaka propisa: Savjetovanje s javnošcu za Iskaz o procjeni ucinaka propisa za nacrt prijedloga zakona o Hrvatskoj poljoprivrednoj komori";"/ECon/EconReport?entityId=5746";"21.07.2017.";"21.08.2017.";"31.08.2017.";"Izvješca objavljena";"/Documents/List/5746";"/ECon/MainScreen?entityId=5746";"5746"
"Ministarstvo poljoprivrede";"Javno savjetovanje o Prijedlogu Pravilnika o mesnim proizvodima";"/ECon/EconReport?entityId=5724";"20.07.2017.";"21.08.2017.";"29.09.2017.";"Izvješca objavljena";"/Documents/List/5724";"/ECon/MainScreen?entityId=5724";"5724"
"Ministarstvo poljoprivrede";"Savjetovanje s javnošcu za Iskaz o procjeni ucinaka propisa za nacrt prijedloga zakona o obiteljskom poljoprivrednom gospodarstvu";"/ECon/EconReport?entityId=5729";"20.07.2017.";"20.08.2017.";"27.08.2017.";"Izvješca objavljena";"/Documents/List/5729";"/ECon/MainScreen?entityId=5729";"5729"
"Ministarstvo rada i mirovinskoga sustava";"PRIJEDLOG ZAKONA O PRESTANKU VAŽENJA ZAKONA O UMIROVLJENICKOM FONDU, S KONACNIM PRIJEDLOGOM ZAKONA";"/ECon/EconReport?entityId=5718";"19.07.2017.";"18.08.2017.";"04.09.2017.";"Izvješca objavljena";"/Documents/List/5718";"/ECon/MainScreen?entityId=5718";"5718"
"Ministarstvo poljoprivrede";"Savjetovanje s javnošcu za Prijedlog pravilnika o provedbi Podmjere 19.2. »Provedba operacija unutar CLLD strategije« Podmjere 19.3. »Priprema i provedba aktivnosti suradnje LAG-a“ i Podmjere 19.4. »Tekuci troškovi i animacija« unutar Mjere 19. »Potpora lokalnom razvoju u okviru inicijative LEADER (CLLD – lokalni razvoj pod vodstvom zajednice«) iz Programa ruralnog razvoja Republike Hrvatske za razdoblje 2014. – 2020.";"/ECon/EconReport?entityId=5722";"19.07.2017.";"03.08.2017.";"18.08.2017.";"Izvješca objavljena";"/Documents/List/5722";"/ECon/MainScreen?entityId=5722";"5722"
"Ministarstvo poljoprivrede";"Savjetovanje s javnošcu za Prijedlog pravilnika o provedbi mjere 16 Suradnja iz Programa ruralnog razvoja Republike Hrvatske za razdoblje 2014. - 2020.";"/ECon/EconReport?entityId=5708";"18.07.2017.";"18.08.2017.";"31.08.2017.";"Izvješca objavljena";"/Documents/List/5708";"/ECon/MainScreen?entityId=5708";"5708"
"Ministarstvo kulture";"SAVJETOVANJE O PRETHODNOJ PROCJENI ZA NACRT PRIJEDLOGA ZAKONA O IZMJENAMA ZAKONA O ZAŠTITI I OCUVANJU KULTURNIH DOBARA, S KONACNIM PRIJEDLOGOM ZAKONA";"/ECon/EconReport?entityId=5715";"18.07.2017.";"02.08.2017.";"01.09.2017.";"Izvješca objavljena";"/Documents/List/5715";"/ECon/MainScreen?entityId=5715";"5715"
"Ministarstvo zdravstva";"Savjetovanje o Nacrtu prijedloga Iskaza o procjeni ucinaka propisa za Zakon o zdravstvenoj zaštiti";NA;"17.07.2017.";"15.09.2017.";"18.09.2017.";"Zatvoren";"/Documents/List/5701";"/ECon/MainScreen?entityId=5701";"5701"
"Ministarstvo rada i mirovinskoga sustava";"PRIJEDLOG ZAKONA O IZMJENAMA I DOPUNAMA ZAKONA O RADU";"/ECon/EconReport?entityId=5703";"17.07.2017.";"31.07.2017.";"16.08.2017.";"Izvješca objavljena";"/Documents/List/5703";"/ECon/MainScreen?entityId=5703";"5703"
"Ministarstvo rada i mirovinskoga sustava";"PRIJEDLOG ZAKONA O IZMJENAMA I DOPUNAMA ZAKONA O EUROPSKIM RADNICKIM VIJECIMA";"/ECon/EconReport?entityId=5706";"17.07.2017.";"31.07.2017.";"16.08.2017.";"Izvješca objavljena";"/Documents/List/5706";"/ECon/MainScreen?entityId=5706";"5706"
"Ministarstvo graditeljstva i prostornoga uredenja";"Naputak o nacinu rada agencije za pravni promet i posredovanje nekretninama u provedbi Zakona o subvencioniranju stambenih kredita";"/ECon/EconReport?entityId=5692";"14.07.2017.";"29.07.2017.";"01.10.2017.";"Izvješca objavljena";"/Documents/List/5692";"/ECon/MainScreen?entityId=5692";"5692"
"Ministarstvo poljoprivrede";"PRAVILNIK O PROVEDBI PRIVREMENIH IZVANREDNIH MJERA POTPORE PROIZVOÐACIMA JABUKA I MANDARINA ZA POSTUPAK POVLACENJA S TRŽIŠTA ZA BESPALTNU DISTRIBUCIJU";"/ECon/EconReport?entityId=5694";"14.07.2017.";"28.07.2017.";"31.07.2017.";"Izvješca objavljena";"/Documents/List/5694";"/ECon/MainScreen?entityId=5694";"5694"
"Ministarstvo zdravstva";"Savjetovanje o Obrascu prethodne procjene za Nacrt prijedloga Zakona o izmjenama i dopunama Zakona o lijekovima";NA;"14.07.2017.";"31.07.2017.";"29.09.2017.";"Zatvoren";"/Documents/List/5696";"/ECon/MainScreen?entityId=5696";"5696"
"Ured za udruge Vlade Republike Hrvatske";"Savjetovanje o Nacrtu Nacionalne strategije stvaranja poticajnog okruženja za razvoj civilnoga društva od 2017. do 2021. godine";NA;"14.07.2017.";"08.09.2017.";"02.10.2017.";"Zatvoren";"/Documents/List/5697";"/ECon/MainScreen?entityId=5697";"5697"
"Ministarstvo mora, prometa i infrastrukture";"Javno savjetovanje o Nacrtu prijedloga Pravilnika o izmjenama i dopunama Pravilnika o uvjetima za obavljanje djelatnosti brodarskog agenta";"/ECon/EconReport?entityId=5683";"13.07.2017.";"12.08.2017.";"08.09.2017.";"Izvješca objavljena";"/Documents/List/5683";"/ECon/MainScreen?entityId=5683";"5683"
"Ministarstvo poljoprivrede";"Savjetovanje sa zainteresiranom javnošcu o Nacrtu prijedloga pravilnika o ribolovnim mogucnostima u gospodarskom ribolovu na moru okružujucom mrežom plivaricom – srdelarom";"/ECon/EconReport?entityId=5690";"13.07.2017.";"16.07.2017.";"14.08.2017.";"Izvješca objavljena";"/Documents/List/5690";"/ECon/MainScreen?entityId=5690";"5690"
"Ministarstvo vanjskih i europskih poslova";"Savjetovanje o Nacrtu Iskaza o procjeni ucinaka propisa za prijedlog Zakona o izmjenama i dopunama Zakona o vanjskim poslovima";"/ECon/EconReport?entityId=5679";"12.07.2017.";"12.08.2017.";"31.08.2017.";"Izvješca objavljena";"/Documents/List/5679";"/ECon/MainScreen?entityId=5679";"5679"
"Ministarstvo regionalnog razvoja i fondova Europske unije";"NACRT PRIJEDLOGA ZAKONA O SUSTAVU STRATEŠKOG PLANIRANJA I UPRAVLJANJA RAZVOJEM";"/ECon/EconReport?entityId=5677";"11.07.2017.";"04.08.2017.";"19.08.2017.";"Izvješca objavljena";"/Documents/List/5677";"/ECon/MainScreen?entityId=5677";"5677"
"Ministarstvo mora, prometa i infrastrukture";"Javno savjetovanje o Nacrtu prijedloga Pravilnika o voznom redu u željeznickom prometu";"/ECon/EconReport?entityId=5671";"10.07.2017.";"10.08.2017.";"06.09.2017.";"Izvješca objavljena";"/Documents/List/5671";"/ECon/MainScreen?entityId=5671";"5671"
"Ministarstvo pravosuda";"Savjetovanje o nacrtu prijedloga Zakona o izmjenama i dopunama Zakona o obveznim odnosima";"/ECon/EconReport?entityId=5666";"06.07.2017.";"05.08.2017.";"25.08.2017.";"Izvješca objavljena";"/Documents/List/5666";"/ECon/MainScreen?entityId=5666";"5666"
"Ministarstvo kulture";"Pravilnik o strucnim zvanjima u konzervatorsko-restauratorskoj djelatnosti te uvjetima i nacinu njihova stjecanja";NA;"06.07.2017.";"06.08.2017.";"06.10.2017.";"Zatvoren";"/Documents/List/5668";"/ECon/MainScreen?entityId=5668";"5668"
"Ministarstvo pravosuda";"Savjetovanje o nacrtu prijedloga Zakona o izmjenama i dopunama Stecajnog zakona, s Konacnim prijedlogom";"/ECon/EconReport?entityId=5656";"05.07.2017.";"04.08.2017.";"25.08.2017.";"Izvješca objavljena";"/Documents/List/5656";"/ECon/MainScreen?entityId=5656";"5656"
"Državna geodetska uprava";"Savjetovanje o Prethodnoj procjeni za Zakon o izmjenama i dopunama Zakona o Nacionalnoj infrastrukturi prostornih podataka";"/ECon/EconReport?entityId=5659";"05.07.2017.";"24.07.2017.";"15.08.2017.";"Izvješca objavljena";"/Documents/List/5659";"/ECon/MainScreen?entityId=5659";"5659"
"Ministarstvo poljoprivrede";"Savjetovanje o Izmjenama i dopunama Nacionalnog programa poticanja provedbe uzgojnih programa za toplokrvne pasmine i uzgojne tipove konja u Republici Hrvatskoj za razdoblje od 2015. do 2020. godine";"/ECon/EconReport?entityId=5632";"05.07.2017.";"30.07.2017.";"21.08.2017.";"Izvješca objavljena";"/Documents/List/5632";"/ECon/MainScreen?entityId=5632";"5632"
"Ministarstvo poljoprivrede";"NACRT PRAVILNIKA O PROVEDBI MJERE 6 RAZVOJ POLJOPRIVREDNIH GOSPODARSTAVA I POSLOVANJA, PODMJERE 6.2. POTPORA ULAGANJU U POKRETANJE NEPOLJOPRIVREDNIH DJELATNOSTI U RURALNIM PODRUCJIMA IZ PROGRAMA RURALNOG RAZVOJA REPUBLIKE HRVATSKE ZA RAZDOBLJE 2014. – 2020.";"/ECon/EconReport?entityId=5647";"04.07.2017.";"21.07.2017.";"07.08.2017.";"Izvješca objavljena";"/Documents/List/5647";"/ECon/MainScreen?entityId=5647";"5647"
"Ministarstvo poljoprivrede";"Savjetovanje sa zainteresiranom javnošcu o Nacrtu pravilnika o uvjetima, kriterijima i nacinu dodjele potpore u okviru mjere I.22. „Dodana vrijednost, kvaliteta proizvoda i upotreba neželjenog ulova“";NA;"04.07.2017.";"02.08.2017.";"21.08.2017.";"Ceka odobravanje izvještaja";"/Documents/List/5648";"/ECon/MainScreen?entityId=5648";"5648"
"Ministarstvo gospodarstva, poduzetništva i obrta";"Savjetovanje sa zainteresiranom javnosti o Nacrtu Prijedloga Uredbe o izmjenama i dopunama Uredbe o kriterijima za oslobodenje ili umanjenje upravno-kaznene mjere";"/ECon/EconReport?entityId=5651";"04.07.2017.";"04.08.2017.";"11.08.2017.";"Izvješca objavljena";"/Documents/List/5651";"/ECon/MainScreen?entityId=5651";"5651"
"Ministarstvo za demografiju, obitelj, mlade i socijalnu politiku";"Nacrt prijedloga Zakona o potvrdivanju Konvencije Vijeca Europe o sprecavanju i borbi protiv nasilja nad ženama i nasilja u obitelji";NA;"03.07.2017.";"03.08.2017.";"03.10.2017.";"Zatvoren";"/Documents/List/5638";"/ECon/MainScreen?entityId=5638";"5638"
"Ured za udruge Vlade Republike Hrvatske";"Savjetovanje o Nacrtu kljucnih elemenata Poziva na dostavu projektnih prijedloga „Osnaživanje doprinosa organizacija civilnoga društva obrazovanju za održivi razvoj kao doprinos ekonomskoj i društvenoj koheziji“";"/ECon/EconReport?entityId=5634";"30.06.2017.";"30.07.2017.";"21.08.2017.";"Izvješca objavljena";"/Documents/List/5634";"/ECon/MainScreen?entityId=5634";"5634"
"Ured za udruge Vlade Republike Hrvatske";"Savjetovanje o Nacrtu kljucnih elemenata Poziva na dostavu projektnih prijedloga „Osnaživanje hrvatsko-švicarskih partnerstava za lokalni društveno-ekonomski rast i razvoj“";"/ECon/EconReport?entityId=5635";"30.06.2017.";"30.07.2017.";"21.08.2017.";"Izvješca objavljena";"/Documents/List/5635";"/ECon/MainScreen?entityId=5635";"5635"
"Ministarstvo graditeljstva i prostornoga uredenja";"Revizija Dugorocne strategije za poticanje ulaganja u obnovu nacionalnog fonda zgrada Republike Hrvatske (iz 2014. godine)";"/ECon/EconReport?entityId=5625";"28.06.2017.";"13.07.2017.";"01.11.2017.";"Izvješca objavljena";"/Documents/List/5625";"/ECon/MainScreen?entityId=5625";"5625"
"Ministarstvo za demografiju, obitelj, mlade i socijalnu politiku";"PRAVILNIK O STANDARDIMA ZA PRUŽANJE SOCIJALNIH USLUGA";NA;"27.06.2017.";"27.07.2017.";"27.08.2017.";"Zatvoren";"/Documents/List/5618";"/ECon/MainScreen?entityId=5618";"5618"
"Ministarstvo zdravstva";"Savjetovanje o Nacrtu prijedloga Zakona o provedbi Uredbe (EU) 2015/2283 Europskog parlamenta i Vijeca od 25. studenoga 2015. o novoj hrani";"/ECon/EconReport?entityId=5622";"27.06.2017.";"27.07.2017.";"28.08.2017.";"Izvješca objavljena";"/Documents/List/5622";"/ECon/MainScreen?entityId=5622";"5622"
"Ministarstvo poljoprivrede";"Prijedlog pravilnika o registru prekršaja u morskom ribarstvu";NA;"27.06.2017.";"05.07.2017.";"06.07.2017.";"Zatvoren";"/Documents/List/5623";"/ECon/MainScreen?entityId=5623";"5623"
"Ministarstvo gospodarstva, poduzetništva i obrta";"PRAVILNIK O PLANU NABAVE, REGISTRU UGOVORA, PRETHODNOM SAVJETOVANJU I ANALIZI TRŽIŠTA U JAVNOJ NABAVI";"/ECon/EconReport?entityId=5609";"26.06.2017.";"26.07.2017.";"26.08.2017.";"Izvješca objavljena";"/Documents/List/5609";"/ECon/MainScreen?entityId=5609";"5609"
"Ministarstvo gospodarstva, poduzetništva i obrta";"PRAVILNIK O ELEKTRONICKOJ ŽALBI U POSTUPCIMA JAVNE NABAVE";"/ECon/EconReport?entityId=5613";"26.06.2017.";"26.07.2017.";"26.08.2017.";"Izvješca objavljena";"/Documents/List/5613";"/ECon/MainScreen?entityId=5613";"5613"
"Ministarstvo poljoprivrede";"Prijedlog pravilnika o ulovu igluna (Xiphias gladius) u 2017. godini";"/ECon/EconReport?entityId=5602";"23.06.2017.";"25.06.2017.";"30.06.2017.";"Izvješca objavljena";"/Documents/List/5602";"/ECon/MainScreen?entityId=5602";"5602"
"Ministarstvo hrvatskih branitelja";"Javno savjetovanje o Nacrtu prijedloga zakona o hrvatskim braniteljima iz Domovinskog rata i clanovima njihovih obitelji";"/ECon/EconReport?entityId=5567";"23.06.2017.";"22.07.2017.";"15.09.2017.";"Izvješca objavljena";"/Documents/List/5567";"/ECon/MainScreen?entityId=5567";"5567"
"Ministarstvo turizma";"Prijedlog Zakona o pružanju usluga u turizmu";"/ECon/EconReport?entityId=5594";"21.06.2017.";"26.07.2017.";"16.08.2017.";"Izvješca objavljena";"/Documents/List/5594";"/ECon/MainScreen?entityId=5594";"5594"
"Državni zavod za mjeriteljstvo";"Savjetovanje o Prijedlogu pravilnika o izmjenama i dopunama Pravilnika o ovjernim razdobljima za pojedina zakonita mjerila i nacinu njihove primjene i o umjernim razdobljima za etalone koji se upotrebljavaju za ovjeravanje zakonitih mjerila";"/ECon/EconReport?entityId=5584";"20.06.2017.";"20.07.2017.";"28.07.2017.";"Izvješca objavljena";"/Documents/List/5584";"/ECon/MainScreen?entityId=5584";"5584"
"Državni zavod za mjeriteljstvo";"Savjetovanje o Prijedlogu pravilnika o mjeriteljskim i tehnickim zahtjevima za uredaje s valjcima kojima se provjerava kocna sila po obodu kotaca kod vozila na motorni pogon i prikljucnih vozila (cestovnih vozila)";"/ECon/EconReport?entityId=5586";"20.06.2017.";"20.07.2017.";"28.07.2017.";"Izvješca objavljena";"/Documents/List/5586";"/ECon/MainScreen?entityId=5586";"5586"
"Državni zavod za mjeriteljstvo";"Savjetovanje o Prijedlogu pravilnika o mjeriteljskim i tehnickim zahtjevima za uredaje kojima se odreduje zamucenost ispušnih plinova kompresijskih motora sa samozapaljenjem (dimometara)";"/ECon/EconReport?entityId=5588";"20.06.2017.";"20.07.2017.";"28.07.2017.";"Izvješca objavljena";"/Documents/List/5588";"/ECon/MainScreen?entityId=5588";"5588"
"Ministarstvo financija";"Savjetovanje sa zainteresiranom javnošcu o Nacrtu prijedloga zakona o reviziji";"/ECon/EconReport?entityId=5590";"20.06.2017.";"04.07.2017.";"07.08.2017.";"Izvješca objavljena";"/Documents/List/5590";"/ECon/MainScreen?entityId=5590";"5590"
"Ministarstvo za demografiju, obitelj, mlade i socijalnu politiku";"Nacrt kljucnih elemenata ESF Poziva na dostavu projektnih prijedloga „Podrška socijalnom ukljucivanju i zapošljavanju marginaliziranih skupina“";"/ECon/EconReport?entityId=5592";"20.06.2017.";"10.07.2017.";"01.08.2017.";"Izvješca objavljena";"/Documents/List/5592";"/ECon/MainScreen?entityId=5592";"5592"
"Ministarstvo zaštite okoliša i energetike";"Javno savjetovanje Prijedloga Niskougljicne strategije Republike hrvatske";NA;"16.06.2017.";"16.07.2017.";"30.09.2017.";"Zatvoren";"/Documents/List/5575";"/ECon/MainScreen?entityId=5575";"5575"
"Ministarstvo poljoprivrede";"Nacrt prijedloga Zakona o lovstvu";"/ECon/EconReport?entityId=5578";"16.06.2017.";"23.07.2017.";"01.09.2017.";"Izvješca objavljena";"/Documents/List/5578";"/ECon/MainScreen?entityId=5578";"5578"
"Ministarstvo državne imovine";"Zakon o upravljanju državnom imovinom";"/ECon/EconReport?entityId=5581";"16.06.2017.";"15.07.2017.";"22.07.2017.";"Izvješca objavljena";"/Documents/List/5581";"/ECon/MainScreen?entityId=5581";"5581"
"Ministarstvo poljoprivrede";"PROGRAM SUFINANCIRANJE ANALIZE SJEMENA SOJE NA PRISUTNOST GENETSKI MODIFICIRANIH ORGANIZAMA (GMO) ZA RAZDOBLJE OD 2017. DO 2020. GODINE";"/ECon/EconReport?entityId=5572";"14.06.2017.";"26.06.2017.";"02.07.2017.";"Izvješca objavljena";"/Documents/List/5572";"/ECon/MainScreen?entityId=5572";"5572"
"Ministarstvo zaštite okoliša i energetike";"Javno savjetovanje o Pravilniku o sakupljanju zavicajnih divljih vrsta";"/ECon/EconReport?entityId=5474";"13.06.2017.";"13.07.2017.";"11.08.2017.";"Izvješca objavljena";"/Documents/List/5474";"/ECon/MainScreen?entityId=5474";"5474"
"Ministarstvo mora, prometa i infrastrukture";"Javno savjetovanje o Nacrtu prijedloga Pravilnika o nacinu i postupku prodaje broda na javnoj dražbi";"/ECon/EconReport?entityId=5538";"09.06.2017.";"10.07.2017.";"25.07.2017.";"Izvješca objavljena";"/Documents/List/5538";"/ECon/MainScreen?entityId=5538";"5538"
"Ministarstvo hrvatskih branitelja";"Prethodna procjena za Nacrt prijedloga Zakona o proglašenju Vukovara mjestom posebnog domovinskog pijeteta";"/ECon/EconReport?entityId=5483";"09.06.2017.";"23.06.2017.";"23.08.2017.";"Izvješca objavljena";"/Documents/List/5483";"/ECon/MainScreen?entityId=5483";"5483"
"Državni zavod za intelektualno vlasništvo";"Savjetovanje o Nacrtu prijedloga zakona o zaštiti neotkrivenih znanja i iskustava te poslovnih informacija (poslovnih tajni)";"/ECon/EconReport?entityId=5554";"09.06.2017.";"09.07.2017.";"19.07.2017.";"Izvješca objavljena";"/Documents/List/5554";"/ECon/MainScreen?entityId=5554";"5554"
"Ministarstvo mora, prometa i infrastrukture";"Javno savjetovanje o Strategiji prometnog razvoja Republike Hrvatske (2017. - 2030.)";"/ECon/EconReport?entityId=5509";"08.06.2017.";"08.07.2017.";"24.07.2017.";"Izvješca objavljena";"/Documents/List/5509";"/ECon/MainScreen?entityId=5509";"5509"
"Ministarstvo mora, prometa i infrastrukture";"Javno savjetovanje o Strateškoj studiji utjecaja na okoliš Strategije prometnog razvoja Republike Hrvatske 2017. - 2030.";"/ECon/EconReport?entityId=5513";"08.06.2017.";"08.07.2017.";"24.07.2017.";"Izvješca objavljena";"/Documents/List/5513";"/ECon/MainScreen?entityId=5513";"5513"
"Ministarstvo zaštite okoliša i energetike";"Uputa za prijavitelje Poziva na dostavu projektnih prijedloga za Povecanje energetske ucinkovitosti i korištenja obnovljivih izvora energije u proizvodnim industrijama";"/ECon/EconReport?entityId=5532";"08.06.2017.";"09.07.2017.";"01.08.2017.";"Izvješca objavljena";"/Documents/List/5532";"/ECon/MainScreen?entityId=5532";"5532"
"Ministarstvo poljoprivrede";"Prijedlog dopune pravilnika o prostornom i vremenskom ogranicenju obavljanja gospodarskog ribolova na moru okružujucom mrežom plovaricom - srdelarom u 2017. godini";"/ECon/EconReport?entityId=5536";"08.06.2017.";"11.06.2017.";"15.06.2017.";"Izvješca objavljena";"/Documents/List/5536";"/ECon/MainScreen?entityId=5536";"5536"
"Ministarstvo turizma";"Savjetovanje o Pravilniku o izmjenama pravilnika o razvrstavanju i kategorizaciji ugostiteljskih objekata  iz skupine ostali ugostiteljski objekti za smještaj";"/ECon/EconReport?entityId=5542";"08.06.2017.";"23.06.2017.";"29.06.2017.";"Izvješca objavljena";"/Documents/List/5542";"/ECon/MainScreen?entityId=5542";"5542"
"Ministarstvo turizma";"Savjetovanje o Pravilniku o izmjenama Pravilnika o razvrstavanju i kategorizaciji objekata u kojima se pružaju ugostiteljske usluge u domacinstvu";"/ECon/EconReport?entityId=5545";"08.06.2017.";"23.06.2017.";"29.06.2017.";"Izvješca objavljena";"/Documents/List/5545";"/ECon/MainScreen?entityId=5545";"5545"
"Ministarstvo turizma";"Savjetovanje o Pravilniku o izmjenama Pravilnika o  razvrstavanju i kategorizaciji objekata u kojima se pružaju ugostiteljske usluge na obiteljskom poljoprivrednom gospodarstvu";"/ECon/EconReport?entityId=5549";"08.06.2017.";"23.06.2017.";"29.06.2017.";"Izvješca objavljena";"/Documents/List/5549";"/ECon/MainScreen?entityId=5549";"5549"
"Ministarstvo poljoprivrede";"Nacrt prijedloga Zakona o Hrvatskoj poljoprivrednoj komori";"/ECon/EconReport?entityId=5528";"07.06.2017.";"23.06.2017.";"30.06.2017.";"Izvješca objavljena";"/Documents/List/5528";"/ECon/MainScreen?entityId=5528";"5528"
"Ministarstvo zaštite okoliša i energetike";"Javno savjetovanje o Nacrtu prijedloga Pravilnika o naknadi štete od životinja strogo zašticenih vrsta";"/ECon/EconReport?entityId=5453";"07.06.2017.";"07.07.2017.";"31.07.2017.";"Izvješca objavljena";"/Documents/List/5453";"/ECon/MainScreen?entityId=5453";"5453"
"Državni zavod za mjeriteljstvo";"Nacrt prijedloga zakona o potvrdivanju konvencije o nadzoru i oznacivanju predmeta od plemenitih kovina";"/ECon/EconReport?entityId=5493";"05.06.2017.";"21.06.2017.";"28.06.2017.";"Izvješca objavljena";"/Documents/List/5493";"/ECon/MainScreen?entityId=5493";"5493"
"Ministarstvo graditeljstva i prostornoga uredenja";"Pravilnik o energetskom pregledu zgrade i energetskom certificiranju";NA;"05.06.2017.";"05.07.2017.";"01.12.2017.";"Zatvoren";"/Documents/List/5495";"/ECon/MainScreen?entityId=5495";"5495"
"Ministarstvo mora, prometa i infrastrukture";"Javno savjetovanje o Nacrtu prijedloga Pravilnika o unutarnjem redu željeznickog sustava";"/ECon/EconReport?entityId=5497";"05.06.2017.";"06.07.2017.";"20.07.2017.";"Izvješca objavljena";"/Documents/List/5497";"/ECon/MainScreen?entityId=5497";"5497"
"Ministarstvo financija";"Savjetovanje sa zainteresiranom javnošcu o Nacrtu prijedloga Zakona o alternativnim investicijskim fondovima";"/ECon/EconReport?entityId=5500";"05.06.2017.";"05.07.2017.";"05.08.2017.";"Izvješca objavljena";"/Documents/List/5500";"/ECon/MainScreen?entityId=5500";"5500"
"Hrvatska agencija za nadzor financijskih usluga";"Savjetovanje o Nacrtu Pravilnika o izmjenama Pravilnika o uvjetima za clanstvo u upravi i nadzornom odboru leasing društva";"/ECon/EconReport?entityId=5501";"05.06.2017.";"04.07.2017.";"04.08.2017.";"Izvješca objavljena";"/Documents/List/5501";"/ECon/MainScreen?entityId=5501";"5501"
"Hrvatska agencija za nadzor financijskih usluga";"Savjetovanje o Nacrtu Pravilnika o izmjenama Pravilnika o izdavanju suglasnosti za stjecanje kvalificiranog udjela u leasing društvu i drugoj pravnoj osobi";"/ECon/EconReport?entityId=5502";"05.06.2017.";"04.07.2017.";"04.08.2017.";"Izvješca objavljena";"/Documents/List/5502";"/ECon/MainScreen?entityId=5502";"5502"
"Hrvatska agencija za nadzor financijskih usluga";"Savjetovanje o Nacrtu Pravilnika o izmjenama Pravilnika o sadržaju te nacinu i rokovima dostave redovitih izvješca leasing društava i izvješca na zahtjev Hrvatske agencije za nadzor financijskih usluga";"/ECon/EconReport?entityId=5505";"05.06.2017.";"04.07.2017.";"04.08.2017.";"Izvješca objavljena";"/Documents/List/5505";"/ECon/MainScreen?entityId=5505";"5505"
"Ministarstvo financija";"Prijedlog zakona o provedbi Uredbe (EU) 2015/2365 o transparentnosti transakcija financiranja vrijendosih papira i ponovne uporabe";"/ECon/EconReport?entityId=5507";"05.06.2017.";"05.07.2017.";"07.08.2017.";"Izvješca objavljena";"/Documents/List/5507";"/ECon/MainScreen?entityId=5507";"5507"
"Ministarstvo poljoprivrede";"Nacrt Prijedloga II. Akcijskog programa zaštite voda od onecišcenja uzrokovanog nitratima poljoprivrednog podrijetla";"/ECon/EconReport?entityId=5487";"02.06.2017.";"16.06.2017.";"20.06.2017.";"Izvješca objavljena";"/Documents/List/5487";"/ECon/MainScreen?entityId=5487";"5487"
"Ministarstvo uprave";"Nacrt prijedloga zakona o dopuni Zakona o referendumu i drugim oblicima osobnog sudjelovanja u obavljanju državne vlasti i lokalne i podrucne (regionalne) samouprave, s Nacrtom konacnog prijedloga zakona";"/ECon/EconReport?entityId=5484";"01.06.2017.";"09.06.2017.";"13.06.2017.";"Izvješca objavljena";"/Documents/List/5484";"/ECon/MainScreen?entityId=5484";"5484"
