"Institucija";"Naslov";"IzvjescaURL";"DatumOtvaranja";"DatumZatvaranja";"OcekivanaObjavaIzvjesca";"Stanje";"DokumentiURL";"SavjetovanjeURL";"ID"
"Državni zavod za radiološku i nuklearnu sigurnost";"Savjetovanje o nacrtu Pravilnika o uvjetima za primjenu izvora ionizirajuceg zracenja u svrhu medicinskog i nemedicinskog ozracenja";NA;"09.01.2018.";"08.02.2018.";"26.02.2018.";"Otvoren";"/Documents/List/6729";"/ECon/MainScreen?entityId=6729";"6729"
"Državni zavod za radiološku i nuklearnu sigurnost";"Savjetovanje o nacrtu Pravilnika o pracenju stanja radioaktivnosti u okolišu";NA;"09.01.2018.";"11.02.2018.";"12.03.2018.";"Otvoren";"/Documents/List/6734";"/ECon/MainScreen?entityId=6734";"6734"
"Državni zavod za radiološku i nuklearnu sigurnost";"Savjetovanje o nacrtu pravilnika o granicama ozracenja, preporucenom doznom ogranicenju i procjenjivanju osobnog ozracenja";NA;"09.01.2018.";"11.02.2018.";"12.03.2018.";"Otvoren";"/Documents/List/6737";"/ECon/MainScreen?entityId=6737";"6737"
"Državni zavod za radiološku i nuklearnu sigurnost";"Savjetovanje o nacrtu Pravilnika  o sadržaju te uvjetima, kriterijima i nacinu odobravanja plana sanacije";NA;"09.01.2018.";"11.02.2018.";"12.03.2018.";"Otvoren";"/Documents/List/6739";"/ECon/MainScreen?entityId=6739";"6739"
"Državni zavod za radiološku i nuklearnu sigurnost";"Savjetovanje o nacrtu Pravilnika o obrazovanju potrebnom za rukovanje izvorima ionizirajuceg zracenja, primjenu mjera radiološke sigurnosti i upravljanje tehnickim procesima u nuklearnim postrojenjima";NA;"09.01.2018.";"12.02.2018.";"26.02.2018.";"Otvoren";"/Documents/List/6742";"/ECon/MainScreen?entityId=6742";"6742"
"Državni zavod za radiološku i nuklearnu sigurnost";"Savjetovanje o nacrtu Pravilnika o strucnjacima za zaštitu od ionizirajuceg zracenja";NA;"09.01.2018.";"12.02.2018.";"26.02.2018.";"Otvoren";"/Documents/List/6744";"/ECon/MainScreen?entityId=6744";"6744"
"Državna geodetska uprava";"Pravilnik o izmjenama i dopunama Pravilnika o kartografskim znakovima";NA;"09.01.2018.";"29.01.2018.";"09.02.2018.";"Otvoren";"/Documents/List/6747";"/ECon/MainScreen?entityId=6747";"6747"
"Ministarstvo poljoprivrede";"Prijedlog pravilnika o provedbi podmjere 10.2 „Potpora za ocuvanje, održivo korištenje i razvoj genetskih izvora u poljoprivredi“ iz Programa ruralnog razvoja Republike Hrvatske za razdoblje 2014.-2020.";NA;"08.01.2018.";"22.01.2018.";"26.01.2018.";"Otvoren";"/Documents/List/6727";"/ECon/MainScreen?entityId=6727";"6727"
"Ministarstvo poljoprivrede";"Savjetovanje s zainteresiranom javnošcu za Prijedlog izmjena Nacionalnog programa pomoci sektoru vina 2014. - 2018.";NA;"05.01.2018.";"21.01.2018.";"04.02.2018.";"Otvoren";"/Documents/List/6717";"/ECon/MainScreen?entityId=6717";"6717"
"Ministarstvo znanosti i obrazovanja";"Savjetovanje s javnošcu o Nacrtu prijedloga Odluke o donošenju kurikuluma za nastavni predmet informatike za osnovne škole i gimnazije u Republici Hrvatskoj";NA;"05.01.2018.";"04.02.2018.";"05.03.2018.";"Otvoren";"/Documents/List/6720";"/ECon/MainScreen?entityId=6720";"6720"
"Ministarstvo gospodarstva, poduzetništva i obrta";"Savjetovanje sa zainteresiranom javnošcu o nacrtu Uputa za prijavitelje Poziva na dostavu projektnih prijedloga 'Uvodenje sustava upravljanja poslovnim procesima i kvalitetom\'";NA;"05.01.2018.";"31.01.2018.";"14.02.2018.";"Otvoren";"/Documents/List/6683";"/ECon/MainScreen?entityId=6683";"6683"
"Ministarstvo poljoprivrede";"Savjetovanje s javnošcu za Prijedlog pravilnika o registru dozvola za unos stranih i lokalno neprisutnih vrsta u akvakulturi, registru unosa i prijenosa i popisu zatvorenih objekata";NA;"04.01.2018.";"11.01.2018.";"16.01.2018.";"Zatvoren";"/Documents/List/6709";"/ECon/MainScreen?entityId=6709";"6709"
"Ministarstvo poljoprivrede";"Savjetovanje s javnošcu o Prijedlogu Pravilnika o izmjenama i dopunama Pravilnika o provedbi Školske sheme";NA;"29.12.2017.";"13.01.2018.";"16.01.2018.";"Zatvoren";"/Documents/List/6695";"/ECon/MainScreen?entityId=6695";"6695"
"Ministarstvo rada i mirovinskoga sustava";"PRIJEDLOG ZAKONA O IZMJENAMA I DOPUNAMA ZAKONA O OBVEZNIM MIROVINSKIM FONDOVIMA";NA;"29.12.2017.";"12.01.2018.";"17.01.2018.";"Zatvoren";"/Documents/List/6698";"/ECon/MainScreen?entityId=6698";"6698"
"Ministarstvo rada i mirovinskoga sustava";"Savjetovanje o kljucnim elementima Poziva na dostavu projektnih prijedloga \"Jacanje poslovanja za društveno poduzetništvo - faza I.\"";NA;"29.12.2017.";"19.01.2018.";"02.02.2018.";"Otvoren";"/Documents/List/6700";"/ECon/MainScreen?entityId=6700";"6700"
"Ministarstvo gospodarstva, poduzetništva i obrta";"Savjetovanje sa zainteresiranom javnošcu o nacrtu Uputa za prijavitelje Poziva na dostavu projektnih prijedloga 'Znakovi kvalitete'";NA;"28.12.2017.";"22.01.2018.";"05.02.2018.";"Otvoren";"/Documents/List/6672";"/ECon/MainScreen?entityId=6672";"6672"
"Ministarstvo graditeljstva i prostornoga uredenja";"Prijedlog Uredbe o izmjeni Uredbe o nazivima radnih mjesta i koeficijentima složenosti poslova u javnim službama";NA;"27.12.2017.";"26.01.2018.";"15.03.2018.";"Otvoren";"/Documents/List/6686";"/ECon/MainScreen?entityId=6686";"6686"
"Ministarstvo poljoprivrede";"Savjetovanje s javnošcu za Prijedlog pravilnika o uvjetima, kriterijima i nacinu dodjele potpore u okviru mjere I.9. „Privremeni prestanak ribolovnih aktivnosti“ okružujucim mrežama plivaricama – srdelarama za sijecanj/veljacu 2018. godine";NA;"27.12.2017.";"02.01.2018.";"08.01.2018.";"Zatvoren";"/Documents/List/6688";"/ECon/MainScreen?entityId=6688";"6688"
"Ministarstvo poljoprivrede";"Prijedlog Pravilnika o provedbi mjere m8, podmjere 8.5 Potpora za ulaganja u poboljšanje otpornosti i okolišne vrijednosti šumskih ekosustava  iz Programa ruralnog razvoja Republike Hrvatske za razdoblje 2014. – 2020.";NA;"22.12.2017.";"22.01.2018.";"09.02.2018.";"Otvoren";"/Documents/List/6680";"/ECon/MainScreen?entityId=6680";"6680"
"Ministarstvo hrvatskih branitelja";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o vodenju evidencije o braniteljskim socijalno-radnim zadrugama, njihovim upraviteljima i savezima";NA;"22.12.2017.";"05.01.2018.";"31.03.2018.";"Zatvoren";"/Documents/List/6682";"/ECon/MainScreen?entityId=6682";"6682"
"Ministarstvo poljoprivrede";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o obliku, sadržaju i nacinu vodenja i dostave podataka o ulovu u gospodarskom ribolovu na moru";NA;"22.12.2017.";"22.01.2018.";"31.01.2018.";"Otvoren";"/Documents/List/6684";"/ECon/MainScreen?entityId=6684";"6684"
"Ministarstvo hrvatskih branitelja";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o nacinu ostvarivanja prava na novcanu naknadu za nezaposlene hrvatske branitelje iz Domovinskog rata i clanove njihovih obitelji";NA;"20.12.2017.";"03.01.2018.";"31.03.2018.";"Zatvoren";"/Documents/List/6659";"/ECon/MainScreen?entityId=6659";"6659"
"Ministarstvo hrvatskih branitelja";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o nacinu ostvarivanja prava na jednokratnu novcanu pomoc za hrvatske branitelje iz Domovinskog rata i clanove njihovih obitelji";NA;"20.12.2017.";"03.01.2018.";"31.03.2018.";"Zatvoren";"/Documents/List/6661";"/ECon/MainScreen?entityId=6661";"6661"
