clanak_id,savjetovanje_id
328245,10413
328246,10413
328247,10413
328484,10416
328499,10416
328485,10416
328500,10416
328486,10416
328501,10416
328487,10416
328502,10416
328503,10416
328504,10416
328488,10416
328505,10416
328506,10416
328507,10416
328489,10416
328508,10416
328509,10416
328510,10416
328511,10416
328512,10416
328513,10416
328514,10416
328490,10416
328515,10416
328491,10416
328516,10416
328517,10416
328518,10416
328519,10416
328520,10416
328492,10416
328521,10416
328522,10416
328523,10416
328524,10416
328493,10416
328525,10416
328494,10416
328526,10416
328527,10416
328528,10416
328529,10416
328530,10416
328531,10416
328532,10416
328495,10416
328533,10416
328534,10416
328535,10416
328536,10416
328496,10416
328497,10416
328498,10416
328537,10416
328538,10416
328539,10416
328540,10416
328541,10416
328542,10416
328543,10418
328544,10418
328546,10418
328547,10418
328548,10418
328549,10418
328550,10418
328545,10418
328551,10418
328552,10418
328553,10418
328554,10418
328555,10418
328556,10418
328557,10418
328558,10418
328559,10418
328584,10425
328589,10425
328585,10425
328586,10425
328590,10425
328591,10425
328592,10425
328593,10425
328587,10425
328594,10425
328595,10425
328596,10425
328597,10425
328598,10425
328599,10425
328588,10425
328600,10425
328601,10425
328602,10425
328603,10425
328604,10425
328605,10425
328606,10425
328607,10425
328200,10404
328201,10404
328202,10404
328203,10404
328204,10404
328205,10404
328206,10404
328207,10404
328170,10396
328172,10396
328173,10396
328174,10396
328175,10396
328176,10396
328177,10396
328178,10396
328171,10396
328179,10396
328180,10396
328181,10396
328182,10396
328183,10396
328184,10396
328185,10396
328186,10396
328187,10396
328192,10399
328193,10399
328194,10399
328195,10399
328196,10399
328197,10401
328198,10401
328199,10401
327958,10388
327959,10388
327960,10388
327961,10388
327962,10388
327963,10388
327964,10388
327965,10388
327966,10388
327967,10388
327968,10388
327950,10393
327951,10393
327952,10393
327953,10393
327954,10393
327955,10393
327956,10393
327957,10393
328139,10394
328140,10394
328144,10394
328145,10394
328141,10394
328142,10394
328146,10394
328147,10394
328148,10394
328149,10394
328150,10394
328151,10394
328152,10394
328153,10394
328154,10394
328155,10394
328156,10394
328157,10394
328143,10394
328158,10394
328159,10394
328160,10394
328161,10394
328162,10394
328163,10394
328164,10394
328165,10394
328166,10394
328167,10394
328168,10394
328169,10394
325563,10208
325564,10208
325565,10208
325566,10208
325567,10208
325568,10208
325569,10208
325570,10208
325571,10208
327675,10375
327678,10375
327676,10375
327679,10375
327680,10375
327681,10375
327682,10375
327677,10375
327683,10375
327684,10375
327685,10375
327686,10375
327687,10375
327688,10375
327689,10375
327690,10375
327691,10375
327692,10375
327693,10375
327694,10375
327760,10377
327761,10377
327762,10377
327763,10377
327764,10377
327765,10377
327766,10377
327767,10377
327768,10377
327769,10377
327770,10377
327771,10377
327772,10377
327773,10380
327774,10380
327775,10380
327776,10380
327777,10380
327778,10380
327779,10380
327780,10380
327781,10380
327782,10380
327783,10380
327784,10380
327785,10380
327786,10380
327787,10380
327788,10380
327789,10380
327790,10380
327791,10380
327792,10380
327793,10380
327794,10380
327795,10380
327796,10380
327797,10380
327798,10380
327799,10380
327800,10380
327801,10380
327802,10380
327803,10380
327804,10380
327805,10380
327806,10380
327807,10380
327808,10380
327809,10380
327810,10380
327811,10380
327812,10382
327813,10382
327814,10382
327815,10382
327816,10382
327817,10382
327818,10383
327819,10383
327820,10383
327821,10383
327822,10383
327823,10383
327824,10385
327825,10385
327826,10385
327855,10385
327856,10385
327857,10385
327858,10385
327859,10385
327860,10385
327861,10385
327862,10385
327863,10385
327864,10385
327865,10385
327866,10385
327867,10385
327868,10385
327827,10385
327828,10385
327829,10385
327869,10385
327870,10385
327830,10385
327871,10385
327872,10385
327831,10385
327873,10385
327874,10385
327832,10385
327875,10385
327876,10385
327877,10385
327878,10385
327879,10385
327880,10385
327881,10385
327833,10385
327882,10385
327883,10385
327884,10385
327834,10385
327885,10385
327886,10385
327835,10385
327836,10385
327887,10385
327888,10385
327889,10385
327837,10385
327838,10385
327839,10385
327890,10385
327891,10385
327892,10385
327840,10385
327893,10385
327894,10385
327841,10385
327895,10385
327896,10385
327897,10385
327842,10385
327843,10385
327898,10385
327899,10385
327900,10385
327901,10385
327902,10385
327903,10385
327844,10385
327845,10385
327846,10385
327904,10385
327905,10385
327906,10385
327907,10385
327908,10385
327847,10385
327909,10385
327910,10385
327911,10385
327848,10385
327912,10385
327913,10385
327849,10385
327850,10385
327914,10385
327915,10385
327916,10385
327851,10385
327852,10385
327917,10385
327918,10385
327853,10385
327854,10385
327919,10385
327920,10385
327921,10385
327922,10385
327923,10385
327924,10385
327925,10385
327926,10385
327397,10352
327398,10352
327404,10352
327405,10352
327406,10352
327407,10352
327408,10352
327399,10352
327409,10352
327410,10352
327411,10352
327412,10352
327413,10352
327414,10352
327415,10352
327416,10352
327417,10352
327418,10352
327400,10352
327419,10352
327420,10352
327421,10352
327401,10352
327422,10352
327423,10352
327424,10352
327425,10352
327426,10352
327402,10352
327427,10352
327428,10352
327429,10352
327430,10352
327403,10352
327431,10352
327432,10352
327433,10352
327434,10352
327435,10352
327436,10352
327437,10352
327438,10352
327449,10361
327450,10361
327451,10361
327452,10361
327453,10361
327454,10361
327455,10361
327456,10361
327457,10361
327458,10361
327459,10361
327460,10361
327461,10361
327462,10368
327472,10368
327463,10368
327473,10368
327464,10368
327474,10368
327475,10368
327476,10368
327477,10368
327478,10368
327479,10368
327480,10368
327465,10368
327466,10368
327481,10368
327482,10368
327467,10368
327483,10368
327484,10368
327468,10368
327485,10368
327486,10368
327487,10368
327488,10368
327489,10368
327490,10368
327491,10368
327492,10368
327469,10368
327493,10368
327494,10368
327470,10368
327495,10368
327496,10368
327497,10368
327498,10368
327499,10368
327500,10368
327501,10368
327502,10368
327471,10368
327503,10368
327506,10370
327507,10370
327169,10354
327170,10354
327171,10354
327172,10354
327173,10354
327174,10354
327175,10354
327176,10354
327177,10354
327178,10354
327179,10354
327180,10354
327181,10354
327182,10354
327183,10354
327184,10354
327185,10354
327186,10354
327187,10354
327188,10354
327189,10354
327190,10354
327191,10354
327192,10354
327193,10354
327194,10354
327195,10354
327196,10354
327197,10354
327198,10354
327199,10354
327200,10354
327201,10354
327202,10354
327203,10354
327204,10354
327205,10354
327206,10354
327207,10354
327208,10354
327209,10354
327210,10354
327211,10354
327212,10354
327213,10354
327214,10354
327215,10354
327216,10354
327217,10354
327218,10354
327219,10354
327220,10354
327221,10354
327222,10354
327223,10354
327224,10354
327339,10358
327340,10358
327341,10358
327342,10358
327343,10358
327344,10358
327345,10358
327346,10358
327347,10358
327348,10358
327349,10358
327350,10358
327351,10358
327352,10358
327353,10358
327354,10358
327355,10358
327356,10358
327357,10358
327358,10358
327359,10358
327360,10358
327361,10358
327362,10358
327363,10358
327364,10358
327365,10358
327366,10358
327367,10358
327368,10358
327369,10358
327370,10358
327371,10358
327372,10358
327373,10358
327374,10358
327375,10358
327376,10358
