Institucija,Naslov,IzvjescaURL,DatumOtvaranja,DatumZatvaranja,OcekivanaObjavaIzvjesca,Stanje,DokumentiURL,SavjetovanjeURL,ID
Ministarstvo unutarnjih poslova,Savjetovanje sa zainteresiranom javnošću o Nacrtu prijedloga Odluke o izmjenama Odluke o visini naknade za tehnički preglede i druge poslove koji se obavljaju u stanicama za tehničke preglede vozila,/ECon/EconReport?entityId=6537,07.12.2017.,17.12.2017.,18.12.2017.,Izvješća objavljena,/Documents/List/6537,/ECon/MainScreen?entityId=6537,6537
Ministarstvo unutarnjih poslova,Savjetovanje sa zainteresiranom javnošću za Nacrt prijedloga Pravilnika o registraciji i označavanju vozila,/ECon/EconReport?entityId=6540,07.12.2017.,17.12.2017.,18.12.2017.,Izvješća objavljena,/Documents/List/6540,/ECon/MainScreen?entityId=6540,6540
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o Nacrtu ključnih elemenata Poziva za provedbu Programa izobrazno-informativnih aktivnosti o održivom gospodarenju otpadom,/ECon/EconReport?entityId=6514,06.12.2017.,21.12.2017.,05.01.2018.,Izvješća objavljena,/Documents/List/6514,/ECon/MainScreen?entityId=6514,6514
Ministarstvo unutarnjih poslova,Savjetovanje za zainteresiranom javnošću o Nacrtu prijedloga Pravilnika o izmjenama i dopunama Pravilnika o obrascima i evidencijama putnih isprava hrvatskih državljana te načinu dostave i preuzimanju izrađenih putovnica,/ECon/EconReport?entityId=6518,06.12.2017.,16.12.2017.,18.12.2017.,Izvješća objavljena,/Documents/List/6518,/ECon/MainScreen?entityId=6518,6518
Ministarstvo unutarnjih poslova,Savjetovanje sa zainteresiranom javnošću Nacrt prijedloga Pravilnika o izmjenama i dopunama Pravilnika o načinu utvrđivanja uvjeta za ulazak i boravak u Republici Hrvatskoj državljana država članica Europskog gospodarskog prostora i članova njihovih obitelji te članova obitelji hrvatskih državljana,/ECon/EconReport?entityId=6521,06.12.2017.,16.12.2017.,18.12.2017.,Izvješća objavljena,/Documents/List/6521,/ECon/MainScreen?entityId=6521,6521
Ministarstvo pravosuđa,"Savjetovanje o nacrtu Pravilnika o sadržaj obrasca te pretpostavke za podnošenje podnesaka u elektroničkom obliku pred trgovačkim sudovima, oblike zapisa podnesaka u elektroničkom obliku (formate) te organizaciju i djelovanje informacijskog sustava",/ECon/EconReport?entityId=6527,06.12.2017.,21.12.2017.,28.12.2017.,Izvješća objavljena,/Documents/List/6527,/ECon/MainScreen?entityId=6527,6527
Ministarstvo financija,Nacrt prijedloga zakona o elektroničkom novcu,/ECon/EconReport?entityId=6498,05.12.2017.,03.01.2018.,03.02.2018.,Izvješća objavljena,/Documents/List/6498,/ECon/MainScreen?entityId=6498,6498
"Ministarstvo gospodarstva, poduzetništva i obrta",PRIJEDLOG UREDBE O JAVNOJ NABAVI U PODRUČJU OBRANE I SIGURNOSTI,/ECon/EconReport?entityId=6501,05.12.2017.,04.01.2018.,26.03.2018.,Izvješća objavljena,/Documents/List/6501,/ECon/MainScreen?entityId=6501,6501
Ministarstvo financija,UREDBA O DOPUNAMA UREDBE O TARIFI UPRAVNIH PRISTOJBI,/ECon/EconReport?entityId=6508,05.12.2017.,08.12.2017.,18.12.2017.,Izvješća objavljena,/Documents/List/6508,/ECon/MainScreen?entityId=6508,6508
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Prijedlog pravilnika o izmjenama i dopunama Pravilnika o mjerama za sprječavanje unošenja i širenja organizama štetnih za bilje, biljne proizvode i druge nadzirane predmete i mjerama suzbijanja tih organizama",/ECon/EconReport?entityId=6460,01.12.2017.,17.12.2017.,18.12.2017.,Izvješća objavljena,/Documents/List/6460,/ECon/MainScreen?entityId=6460,6460
