Institucija,Naslov,IzvjescaURL,DatumOtvaranja,DatumZatvaranja,OcekivanaObjavaIzvjesca,Stanje,DokumentiURL,SavjetovanjeURL,ID
Ministarstvo zdravstva,"Savjetovanje o Nacrtu Odluke o utvrđivanju ovlaštenih zdravstvenih ustanova u kojima se obavlja stručna procjena radi ostvarivanja statusa hrvatskog ratnog vojnog invalida po osnovi bolesti, pogoršanja bolesti odnosno pojave bolesti kao posljedice sudjelovanja u obrani suvereniteta Republike Hrvatske, za 2019. godinu",NA,01.03.2019.,16.03.2019.,16.04.2019.,Otvoren,/Documents/List/10413,/ECon/MainScreen?entityId=10413,10413
"Ministarstvo mora, prometa i infrastrukture","Javno savjetovanje o Prijedlogu Pravilnika o službenoj iskaznici i znački, opremi i službenoj odjeći inspektora cestovnog prometa i inspektora cesta, označavanju vozila inspekcije cestovnog prometa i cesta te načinu zaustavljanja vozila radi nadzora",NA,01.03.2019.,01.04.2019.,22.04.2019.,Otvoren,/Documents/List/10416,/ECon/MainScreen?entityId=10416,10416
Ministarstvo znanosti i obrazovanja,"Savjetovanje sa zainteresiranom javnosti o Prijedlogu ključnih elemenata poziva za dostavu projektnih prijedloga 'Uspostava regionalnih centara kompetentnosti u strukovnom obrazovanju u (pod)sektorima: Strojarstvo, elektrotehnika i računalstvo, poljoprivreda i zdravstvo'",NA,01.03.2019.,25.03.2019.,30.04.2019.,Otvoren,/Documents/List/10418,/ECon/MainScreen?entityId=10418,10418
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O PLANU IMPLEMENTACIJE GARANCIJA ZA MLADE ZA RAZDOBLJE OD 2019. DO 2020. GODINE,NA,01.03.2019.,30.03.2019.,01.04.2019.,Otvoren,/Documents/List/10425,/ECon/MainScreen?entityId=10425,10425
"Ministarstvo gospodarstva, poduzetništva i obrta",#2 Savjetovanje o Pravilniku o izmjenama i dopunama Pravilnika o ograničavanju uporabe određenih opasnih tvari u električnoj i elektroničkoj opremi,NA,27.02.2019.,14.03.2019.,17.03.2019.,Otvoren,/Documents/List/10404,/ECon/MainScreen?entityId=10404,10404
Ministarstvo turizma,Nacrt ključnih elemenata ESF poziva na dostavu projektnih prijedloga „Uspostava regionalnih centara kompetentnosti u sektoru turizma i ugostiteljstva“,NA,26.02.2019.,12.03.2019.,01.04.2019.,Otvoren,/Documents/List/10396,/ECon/MainScreen?entityId=10396,10396
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o Odluci o dopuni Odluke o donošenju kurikuluma za nastavni predmet Hrvatski jezik za srednje strukovne škole na razini 4.2. u Republici Hrvatskoj,NA,26.02.2019.,05.03.2019.,01.04.2019.,Otvoren,/Documents/List/10399,/ECon/MainScreen?entityId=10399,10399
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Prijedlog pravilnika o izmjenama Pravilnika o sadržaju, načinu i obliku registracije farmi",NA,26.02.2019.,12.03.2019.,19.03.2019.,Otvoren,/Documents/List/10401,/ECon/MainScreen?entityId=10401,10401
Ministarstvo pravosuđa,Prijedlog o uvjetima i postupku predlaganja kandidata za imenovanje europskog tužitelja,NA,25.02.2019.,05.03.2019.,19.03.2019.,Otvoren,/Documents/List/10388,/ECon/MainScreen?entityId=10388,10388
Ministarstvo unutarnjih poslova,Prijedlog Pravilnika o izmjenama i dopunama Pravilnika o prijamu i postupanju s uhićenikom i pritvorenikom te o Evidenciji pritvorenika u pritvorskoj policijskoj jedinici,NA,25.02.2019.,11.03.2019.,11.04.2019.,Otvoren,/Documents/List/10393,/ECon/MainScreen?entityId=10393,10393
Ministarstvo poljoprivrede,Nacrt prijedloga Nacionalnog pčelarskog programa za razdoblje od 2020. do 2022.,NA,25.02.2019.,06.03.2019.,08.03.2019.,Otvoren,/Documents/List/10394,/ECon/MainScreen?entityId=10394,10394
Ministarstvo zaštite okoliša i energetike,Nacrt prijedloga Pravilnika o izmjenama i dopunama Pravilnika o gospodarenju medicinskim otpadom,NA,25.02.2019.,26.03.2019.,15.04.2019.,Otvoren,/Documents/List/10208,/ECon/MainScreen?entityId=10208,10208
Ministarstvo graditeljstva i prostornoga uređenja,Savjetovanje s javnošću za Prijedlog Zakona o izmjenama i dopunama Zakona o društveno poticanoj stanogradnji,NA,22.02.2019.,23.03.2019.,01.06.2019.,Otvoren,/Documents/List/10375,/ECon/MainScreen?entityId=10375,10375
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Obrascu prethodne procjene za Nacrt prijedloga Zakona o izmjenama i dopunama Zakona o prijevozu u cestovnom prometu,NA,22.02.2019.,11.03.2019.,29.03.2019.,Otvoren,/Documents/List/10377,/ECon/MainScreen?entityId=10377,10377
Ministarstvo zdravstva,Savjetovanje o Nacrtu pravilnika o osiguranju kvalitete krvi i krvnih pripravaka u zdravstvenim ustanovama,NA,22.02.2019.,24.03.2019.,24.04.2019.,Otvoren,/Documents/List/10380,/ECon/MainScreen?entityId=10380,10380
Hrvatska agencija za nadzor financijskih usluga,"Savjetovanje o nacrtu prijedloga Pravilnika o obliku, sadržaju, rokovima i načinu dostavljanja izvještaja o transakcijama i trgovanju s financijskim instrumentima izvršenim na uređenom tržištu kojim upravlja burza",NA,22.02.2019.,15.03.2019.,25.03.2019.,Otvoren,/Documents/List/10382,/ECon/MainScreen?entityId=10382,10382
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Tehničke upute za izradu i dostavu izvještaja o transakcijama i trgovanju s financijskim instrumentima izvršenim na uređenom tržištu kojim upravlja burza u elektroničkom obliku,NA,22.02.2019.,15.03.2019.,25.03.2019.,Otvoren,/Documents/List/10383,/ECon/MainScreen?entityId=10383,10383
Ministarstvo uprave,Savjetovanje sa zainteresiranom javnošću o Prijedlogu zakona o sustavu državne uprave,NA,22.02.2019.,08.03.2019.,11.03.2019.,Otvoren,/Documents/List/10385,/ECon/MainScreen?entityId=10385,10385
"Ministarstvo gospodarstva, poduzetništva i obrta",Savjetovanje sa zainteresiranom javnošću o nacrtu Uputa za prijavitelje Poziva na dostavu projektnih prijedloga 'Usluge za MSP-ove putem poduzetničkih potpornih institucija (PPI)',NA,20.02.2019.,20.03.2019.,26.03.2019.,Otvoren,/Documents/List/10352,/ECon/MainScreen?entityId=10352,10352
Ministarstvo poljoprivrede,"Prijedlog pravilnika o uvjetima, kriterijima, načinu odabira, financiranja i provedbe lokalnih razvojnih strategija u ribarstvu",NA,20.02.2019.,02.03.2019.,04.03.2019.,Otvoren,/Documents/List/10361,/ECon/MainScreen?entityId=10361,10361
Ministarstvo državne imovine,Strategija upravljanja državnom imovinom za razdoblje od 2018. do 2024.,NA,20.02.2019.,22.03.2019.,21.04.2019.,Otvoren,/Documents/List/10368,/ECon/MainScreen?entityId=10368,10368
Središnji državni ured za Hrvate izvan Republike Hrvatske,Obrazloženje prijedloga odluke o proglašenju „Dana Hrvata izvan Republike Hrvatske“,NA,20.02.2019.,07.03.2019.,07.04.2019.,Otvoren,/Documents/List/10370,/ECon/MainScreen?entityId=10370,10370
Ministarstvo graditeljstva i prostornoga uređenja,Savjetovanje s javnošću za Konačni prijedlog Zakona o izmjenama i dopunama Zakona o gradnji,NA,19.02.2019.,20.03.2019.,01.06.2019.,Otvoren,/Documents/List/10354,/ECon/MainScreen?entityId=10354,10354
Ministarstvo graditeljstva i prostornoga uređenja,Savjetovanje s javnošću za Konačni prijedlog Zakona o izmjenama i dopunama Zakona o prostornom uređenju,NA,19.02.2019.,20.03.2019.,01.06.2019.,Otvoren,/Documents/List/10358,/ECon/MainScreen?entityId=10358,10358
Ministarstvo kulture,NACIONALNI PLAN DIGITALIZACIJE KULTURNE BAŠTINE 2025,NA,19.02.2019.,21.03.2019.,21.05.2019.,Otvoren,/Documents/List/10350,/ECon/MainScreen?entityId=10350,10350
Ministarstvo pravosuđa,Savjetovanje o Prijedlogu Zakona o izmjenama i dopunama Zakona o pravosudnoj suradnji u kaznenim stvarima s državama članicama europske unije,NA,18.02.2019.,05.03.2019.,19.03.2019.,Otvoren,/Documents/List/10341,/ECon/MainScreen?entityId=10341,10341
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Pravilnika o organizaciji i provedbi produženog boravka u osnovnoj školi,NA,18.02.2019.,20.03.2019.,30.04.2019.,Otvoren,/Documents/List/10344,/ECon/MainScreen?entityId=10344,10344
"Ministarstvo za demografiju, obitelj, mlade i socijalnu politiku",Nacrt prijedloga Pravilnika o načinu vođenja evidencije i dokumentacije te načinu i rokovima dostave izvješća jedinice lokalne i područne (regionalne) samouprave,NA,18.02.2019.,19.03.2019.,03.04.2019.,Otvoren,/Documents/List/10348,/ECon/MainScreen?entityId=10348,10348
Ministarstvo zaštite okoliša i energetike,"Nacrt prijedloga zakona o izmjenama Zakona o istraživanju i eksploataciji ugljikovodika, s konačnim prijedlogom zakona s Obrascem prethodne procjene učinaka propisa",NA,15.02.2019.,01.03.2019.,08.03.2019.,Zatvoren,/Documents/List/10310,/ECon/MainScreen?entityId=10310,10310
Ministarstvo financija,"Savjetovanje sa zainteresiranom javnošću o Prijedlogu zakona o izmjenama i dopunama zakona o carinskoj službi, s konačnim prijedlogom zakona",NA,15.02.2019.,05.03.2019.,11.03.2019.,Otvoren,/Documents/List/10318,/ECon/MainScreen?entityId=10318,10318
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Nacrt prijedloga programa potpore za proizvođače šećerne repe za razdoblje od 2019. do 2021. godine,NA,15.02.2019.,02.03.2019.,04.03.2019.,Otvoren,/Documents/List/10319,/ECon/MainScreen?entityId=10319,10319
"Ministarstvo gospodarstva, poduzetništva i obrta",Savjetovanje sa zainteresiranom javnošću o Nacrtu pravilnika o vrsti i visini naknada za usluge zaprimanja i slanja elektroničkih računa za javne naručitelje u javnoj nabavi,NA,15.02.2019.,04.03.2019.,08.03.2019.,Otvoren,/Documents/List/10320,/ECon/MainScreen?entityId=10320,10320
"Ministarstvo gospodarstva, poduzetništva i obrta","Savjetovanje sa zainteresiranom javnošću o Nacrtu pravilnika o tehničkim elementima, izdavanju i razmjeni elektroničkog računa i pratećih isprava u javnoj nabavi",NA,15.02.2019.,04.03.2019.,08.03.2019.,Otvoren,/Documents/List/10323,/ECon/MainScreen?entityId=10323,10323
Ministarstvo graditeljstva i prostornoga uređenja,Savjetovanje s javnošću za Pravilnik o izmjenama i dopunama Pravilnika o jednostavnim i drugim građevinama i radovima,NA,15.02.2019.,16.03.2019.,01.05.2019.,Otvoren,/Documents/List/10328,/ECon/MainScreen?entityId=10328,10328
Ministarstvo poljoprivrede,"Savjetovanje s javošču za Prijedlog pravilnika o prirodnim mineralnim, prirodnim izvorskim i stolnim vodama",NA,15.02.2019.,15.03.2019.,15.04.2019.,Otvoren,/Documents/List/10329,/ECon/MainScreen?entityId=10329,10329
"Ministarstvo gospodarstva, poduzetništva i obrta",Savjetovanje sa zainteresiranom javnošću o Prijedlogu uredbe o izmjeni Uredbe o sustavu brze razmjene službenih obavijesti o proizvodima koji predstavljaju rizik za zdravlje i sigurnost potrošača (RAPEX),NA,15.02.2019.,03.03.2019.,06.03.2019.,Otvoren,/Documents/List/10337,/ECon/MainScreen?entityId=10337,10337
"Ministarstvo gospodarstva, poduzetništva i obrta",Savjetovanje sa zainteresiranom javnošću o Pravilniku o izmjenama Pravilnika o obavješćivanju o proizvodu koji je opasan za potrošače,NA,15.02.2019.,03.03.2019.,06.03.2019.,Otvoren,/Documents/List/10338,/ECon/MainScreen?entityId=10338,10338
"Ministarstvo gospodarstva, poduzetništva i obrta",Savjetovanje sa zainteresiranom javnošću o Prijedlogu uredbe o izmjenama Uredbe o određivanju tijela za provedbu Uredbe (EZ-a) br. 2006/2004 Europskog parlamenta i Vijeća od 27. listopada 2004. o suradnji između nacionalnih tijela odgovornih za provedbu propisa o zaštiti potrošača (Uredba o o suradnji u zaštiti potrošača),NA,15.02.2019.,03.03.2019.,06.03.2019.,Otvoren,/Documents/List/10339,/ECon/MainScreen?entityId=10339,10339
Ministarstvo unutarnjih poslova,Nacrt prijedloga Zakona o izmjenama i dopunama Zakona o sigurnosti prometa na cestama,NA,15.02.2019.,04.03.2019.,04.04.2019.,Otvoren,/Documents/List/10301,/ECon/MainScreen?entityId=10301,10301
Ministarstvo unutarnjih poslova,Nacrt prijedloga Zakona o izmjenama i dopunama Zakona o policijskim poslovima i ovlastima,NA,15.02.2019.,04.03.2019.,04.04.2019.,Otvoren,/Documents/List/10303,/ECon/MainScreen?entityId=10303,10303
Ministarstvo unutarnjih poslova,Nacrt prijedloga Zakona o privatnoj zaštiti s prijedlogom Iskaza o procjeni učinaka propisa i Obrascem testa malog i srednjeg poduzetništva,NA,15.02.2019.,16.03.2019.,22.04.2019.,Otvoren,/Documents/List/10305,/ECon/MainScreen?entityId=10305,10305
Ministarstvo financija,Prijedlog Zakona o potvrđivanju ugovora  između Republike Hrvatske i Japana o uklanjanju dvostrukog oporezivanja porezima na dohodak te sprječavanju porezne utaje i izbjegavanja plaćanja poreza,NA,14.02.2019.,17.03.2019.,01.04.2019.,Otvoren,/Documents/List/10308,/ECon/MainScreen?entityId=10308,10308
Ministarstvo zaštite okoliša i energetike,"Javno savjetovanje o Nacrtu prijedloga zakona o izmjenama Zakona o tržištu električne energije, s Konačnim prijedlogom zakona te o Obrascu prethodne procjene učinaka propisa",/ECon/EconReport?entityId=10297,14.02.2019.,28.02.2019.,18.03.2019.,Izvješća objavljena,/Documents/List/10297,/ECon/MainScreen?entityId=10297,10297
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Prijedlog pravilnika o voćnim džemovima, želeima, marmeladama, pekmezu te zaslađenom kesten pireu",NA,13.02.2019.,15.03.2019.,01.04.2019.,Otvoren,/Documents/List/10299,/ECon/MainScreen?entityId=10299,10299
Državni hidrometeorološki zavod,Savjetovanje sa zainteresiranom javnošću o Nacrtu prijedloga zakona o meteorološkoj i hidrološkoj djelatnosti s Obrascem iskaza o procjeni učinaka propisa,NA,13.02.2019.,15.03.2019.,22.03.2019.,Otvoren,/Documents/List/10292,/ECon/MainScreen?entityId=10292,10292
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Prijedlogu Pravilnika o prometnoj signalizaciji i opremi na cestama,NA,13.02.2019.,15.03.2019.,05.04.2019.,Otvoren,/Documents/List/10268,/ECon/MainScreen?entityId=10268,10268
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Prijedlog pravilnika o izmjenama Pravilnika o uvjetima, kriterijima i načinu dodjele državne potpore u okviru programa potpore „Zaštita i obnova morske bioraznolikosti i morskih ekosustava i režimi naknade u okviru održivih ribolovnih aktivnosti“ – kompenzacija za štete na ulovima koju uzrokuju sisavci",NA,12.02.2019.,16.02.2019.,21.02.2019.,Čeka odobravanje izvještaja,/Documents/List/10275,/ECon/MainScreen?entityId=10275,10275
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Prijedlog pravilnika o izmjenama pravilnika o uvjetima, kriterijima i načinu dodjele državne potpore male vrijednosti u ribarstvu",NA,12.02.2019.,16.02.2019.,21.02.2019.,Čeka odobravanje izvještaja,/Documents/List/10278,/ECon/MainScreen?entityId=10278,10278
Ministarstvo financija,Nacrt prijedloga zakona o izmjenama i dopunama Zakona o sustavu unutarnjih kontrola u javnom sektoru,NA,12.02.2019.,27.02.2019.,27.03.2019.,Zatvoren,/Documents/List/10280,/ECon/MainScreen?entityId=10280,10280
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog pravilnika o izmjenama Pravilnika o ribolovnim mogućnostima u gospodarskom ribolovu na moru okružujućom mrežom plivaricom - srdelarom,NA,12.02.2019.,17.02.2019.,10.03.2019.,Zatvoren,/Documents/List/10281,/ECon/MainScreen?entityId=10281,10281
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog pravilnika o uvjetima kojima moraju udovoljavati skloništa za životinje,NA,12.02.2019.,11.03.2019.,25.03.2019.,Otvoren,/Documents/List/10254,/ECon/MainScreen?entityId=10254,10254
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Prijedlogu Pravilnika o privremenoj regulaciji prometa i označavanju te osiguranju radova na cestama,NA,12.02.2019.,14.03.2019.,04.04.2019.,Otvoren,/Documents/List/10256,/ECon/MainScreen?entityId=10256,10256
"Ministarstvo gospodarstva, poduzetništva i obrta",Prijedlog zakona o izmjenama i dopunama Zakona o obrtu,NA,12.02.2019.,14.03.2019.,25.03.2019.,Otvoren,/Documents/List/10266,/ECon/MainScreen?entityId=10266,10266
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog pravilnika o načinu uporabe lovačkog oružja i naboja,NA,11.02.2019.,11.03.2019.,11.04.2019.,Otvoren,/Documents/List/10237,/ECon/MainScreen?entityId=10237,10237
Ministarstvo poljoprivrede,"Savjetovanje o Prijedlogu pravilnika o zaštićenim oznakama izvornosti, zaštićenim oznakama zemljopisnog podrijetla i zajamčeno tradiciaonalnim specijalitetima i neobveznom izrazu kvalitete 'planinski proizvod'",NA,11.02.2019.,11.03.2019.,11.04.2019.,Otvoren,/Documents/List/10243,/ECon/MainScreen?entityId=10243,10243
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Nacrtu prijedloga Zakona o provedbi uredbe (EU) br. 2017/352 Europskog parlamenta i Vijeća od 15. veljače 2017. o uspostavi okvira za pružanje lučkih usluga i zajedničkih pravila o financijskoj transparentnosti luka,/ECon/EconReport?entityId=10245,11.02.2019.,26.02.2019.,08.03.2019.,Izvješća objavljena,/Documents/List/10245,/ECon/MainScreen?entityId=10245,10245
Središnji državni ured za obnovu i stambeno zbrinjavanje,Savjetovanje o prijedlogu Pravilnika o najmu stambenih jedinica,NA,11.02.2019.,25.02.2019.,04.03.2019.,Zatvoren,/Documents/List/10248,/ECon/MainScreen?entityId=10248,10248
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o Pravilniku o rasporedu člana obveznog mirovinskog fonda u mirovinsko osiguravajuće društvo,NA,08.02.2019.,09.03.2019.,01.04.2019.,Otvoren,/Documents/List/10238,/ECon/MainScreen?entityId=10238,10238
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o vrstama AIF-ova,NA,08.02.2019.,22.02.2019.,10.03.2019.,Zatvoren,/Documents/List/10241,/ECon/MainScreen?entityId=10241,10241
Ministarstvo poljoprivrede,Pravilnik o metodologiji za praćenje stanja poljoprivrednog zemljišta,NA,08.02.2019.,10.03.2019.,30.03.2019.,Otvoren,/Documents/List/10225,/ECon/MainScreen?entityId=10225,10225
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o prijenosu upravljanja AIF-om,NA,08.02.2019.,22.02.2019.,10.03.2019.,Zatvoren,/Documents/List/10228,/ECon/MainScreen?entityId=10228,10228
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o listi dokumentacije potrebne za procjenu zahtjeva za izdavanje suglasnosti za stjecanje kvalificiranog udjela u središnjem klirinškom depozitarnom društvu,NA,08.02.2019.,28.02.2019.,10.03.2019.,Zatvoren,/Documents/List/10229,/ECon/MainScreen?entityId=10229,10229
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o troškovima i naknadama koji se mogu plaćati iz imovine AIF-a,NA,08.02.2019.,22.02.2019.,10.03.2019.,Zatvoren,/Documents/List/10230,/ECon/MainScreen?entityId=10230,10230
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o uvjetima za članstvo u upravi središnjeg klirinškog depozitarnog društva i postupku izdavanja suglasnosti članu uprave središnjeg klirinškog depozitarnog društva,NA,08.02.2019.,28.02.2019.,10.03.2019.,Zatvoren,/Documents/List/10231,/ECon/MainScreen?entityId=10231,10231
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o udjelima AIF-ova,NA,08.02.2019.,22.02.2019.,10.03.2019.,Zatvoren,/Documents/List/10232,/ECon/MainScreen?entityId=10232,10232
Hrvatska agencija za nadzor financijskih usluga,"Savjetovanje o nacrtu Pravilnika o izmjenama i dopunama Pravilnika o obliku i sadržaju financijskog i statističkog izvješća društava za zastupanje u osiguranju, odnosno društava za posredovanje u osiguranju i reosiguranju",NA,08.02.2019.,07.03.2019.,22.03.2019.,Otvoren,/Documents/List/10233,/ECon/MainScreen?entityId=10233,10233
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog pravilnika o izmjenama Pravilnika o stručnom osposobljavanju za obavljanje djelatnosti akvakulture,/ECon/EconReport?entityId=10212,07.02.2019.,14.02.2019.,15.02.2019.,Izvješća objavljena,/Documents/List/10212,/ECon/MainScreen?entityId=10212,10212
Ministarstvo zdravstva,"Savjetovanje o Nacrtu prijedloga zakona o provedbi  delegirane Uredbe Komisije (EU) 2016/161 od 2. listopada 2015. o dopuni Direktive 2001/83/EZ Europskog parlamenta i Vijeća utvrđivanjem detaljnih pravila za sigurnosne oznake na pakiranjima lijekova za humanu primjenu, s Konačnim prijedlogom zakona",/ECon/EconReport?entityId=10214,07.02.2019.,22.02.2019.,22.03.2019.,Izvješća objavljena,/Documents/List/10214,/ECon/MainScreen?entityId=10214,10214
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Odluke o donošenju kurikuluma za nastavni predmet Povijest za osnovne škole i gimnazije u Republici Hrvatskoj,NA,07.02.2019.,22.02.2019.,31.03.2019.,Zatvoren,/Documents/List/10217,/ECon/MainScreen?entityId=10217,10217
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Odluke o donošenju kurikuluma za nastavni predmet Tjelesna i zdravstvena kultura za osnovne škole i gimnazije u Republici Hrvatskoj,NA,07.02.2019.,22.02.2019.,31.03.2019.,Zatvoren,/Documents/List/10220,/ECon/MainScreen?entityId=10220,10220
Državni zavod za statistiku,Savjetovanje o Prijedlogu zakona o popisu poljoprivrede 2020.,NA,06.02.2019.,07.03.2019.,11.03.2019.,Otvoren,/Documents/List/10188,/ECon/MainScreen?entityId=10188,10188
Ministarstvo poljoprivrede,Savjetovanje s javnošću za  Prijedlog pravilnika o ribolovu plavoperajne tune (Thunnus thynnus) udičarskim alatima i uvjetima i kriterijima za ostvarivanje  prava na dodjelu individualne udičarske kvote,NA,06.02.2019.,14.02.2019.,07.03.2019.,Zatvoren,/Documents/List/10183,/ECon/MainScreen?entityId=10183,10183
Ministarstvo kulture,"PRAVILNIK O IZMJENI PRAVILNIKA O ORGANIZIRANJU, FINANCIRANJU I DONOŠENJU PROGRAMA FESTIVALA DUBROVAČKE LJETNE IGRE",NA,06.02.2019.,08.03.2019.,08.05.2019.,Otvoren,/Documents/List/10206,/ECon/MainScreen?entityId=10206,10206
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Nacrt prijedloga zakona o izmjenama Zakona o zaštiti životinja, s konačnim prijedlogom zakona",/ECon/EconReport?entityId=10184,05.02.2019.,20.02.2019.,28.02.2019.,Izvješća objavljena,/Documents/List/10184,/ECon/MainScreen?entityId=10184,10184
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Nacrt prijedloga zakona o izmjenama Zakona o provedbi uredbi Europske unije o zaštiti životinja, s konačnim prijedlogom zakona",/ECon/EconReport?entityId=10185,05.02.2019.,20.02.2019.,28.02.2019.,Izvješća objavljena,/Documents/List/10185,/ECon/MainScreen?entityId=10185,10185
Ministarstvo poljoprivrede,Pravilnik o provedbi izravne potpore poljoprivredi i IAKS mjera ruralnog razvoja za 2019. godinu,NA,05.02.2019.,20.02.2019.,26.02.2019.,Zatvoren,/Documents/List/10190,/ECon/MainScreen?entityId=10190,10190
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O PRAVILNIKU O AKTIVNOM TRAŽENJU POSLA I RASPOLOŽIVOSTI ZA RAD,NA,05.02.2019.,06.03.2019.,13.03.2019.,Otvoren,/Documents/List/10192,/ECon/MainScreen?entityId=10192,10192
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O PRAVILNIKU O EVIDENCIJAMA HRVATSKOGA ZAVODA ZA ZAPOŠLJAVANJE,NA,05.02.2019.,06.03.2019.,13.03.2019.,Otvoren,/Documents/List/10194,/ECon/MainScreen?entityId=10194,10194
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O PRAVILNIKU O JEDNOKRATNOJ NOVČANOJ POMOĆI I NAKNADI PUTNIH I SELIDBENIH TROŠKOVA,NA,05.02.2019.,06.03.2019.,13.03.2019.,Otvoren,/Documents/List/10196,/ECon/MainScreen?entityId=10196,10196
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O PRAVILNIKU O OBAVLJANJU DJELATNOSTI U SVEZI SA ZAPOŠLJAVANJEM,NA,05.02.2019.,06.03.2019.,13.03.2019.,Otvoren,/Documents/List/10198,/ECon/MainScreen?entityId=10198,10198
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O PRAVILNIKU O ODGOVARAJUĆEM SMJEŠTAJU,NA,05.02.2019.,06.03.2019.,13.03.2019.,Otvoren,/Documents/List/10200,/ECon/MainScreen?entityId=10200,10200
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O PRAVILNIKU O SADRŽAJU I OBLIKU UGOVORA O SEZONSKOM RADU U POLJOPRIVREDI,NA,05.02.2019.,06.03.2019.,13.03.2019.,Otvoren,/Documents/List/10202,/ECon/MainScreen?entityId=10202,10202
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O PRAVILNIKU O UVJETIMA I NAČINU ISPLATE NOVČANE NAKNADE U JEDNOKRATNOM IZNOSU,NA,05.02.2019.,06.03.2019.,13.03.2019.,Otvoren,/Documents/List/10204,/ECon/MainScreen?entityId=10204,10204
Ministarstvo pravosuđa,Savjetovanje o prijedlogu Pravilnika o izmjenama Pravilnika o teorijskom i praktičnom stručnom obrazovanju vježbenika u pravosudnim tijelima,/ECon/EconReport?entityId=10177,04.02.2019.,12.02.2019.,05.03.2019.,Izvješća objavljena,/Documents/List/10177,/ECon/MainScreen?entityId=10177,10177
Ministarstvo poljoprivrede,"Prijedlog Zakona o izmjenama i dopunama Zakona o službenim kontrolama koje se provode sukladno propisima o hrani, hrani za životinje, o zdravlju i dobrobiti životinja, s konačnim prijedlogom Zakona",/ECon/EconReport?entityId=10182,04.02.2019.,18.02.2019.,04.03.2019.,Izvješća objavljena,/Documents/List/10182,/ECon/MainScreen?entityId=10182,10182
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Nacrt prijedloga zakona o izmjenama i dopunama  Zakona o šumskom reprodukcijskom materijalu, s konačnim prijedlogom zakona",/ECon/EconReport?entityId=10152,01.02.2019.,15.02.2019.,28.02.2019.,Izvješća objavljena,/Documents/List/10152,/ECon/MainScreen?entityId=10152,10152
Ministarstvo poljoprivrede,Nacrt prijedloga Zakona o izmjenama i dopunama Zakona o duhanu,NA,01.02.2019.,15.02.2019.,18.02.2019.,Zatvoren,/Documents/List/10158,/ECon/MainScreen?entityId=10158,10158
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Nacrt prijedloga zakona o izmjenama Zakona o lovstvu, s konačnim prijedlogom zakona",/ECon/EconReport?entityId=10159,01.02.2019.,15.02.2019.,28.02.2019.,Izvješća objavljena,/Documents/List/10159,/ECon/MainScreen?entityId=10159,10159
Ministarstvo poljoprivrede,"Nacrt prijedloga zakona o izmjenama i dopunama Zakona o gnojivima i poboljšivačima tla, s konačnim prijedlogom zakona",/ECon/EconReport?entityId=10160,01.02.2019.,15.02.2019.,18.02.2019.,Izvješća objavljena,/Documents/List/10160,/ECon/MainScreen?entityId=10160,10160
